/Graph
Time (s),Data (Meters),Data0 (Meters),Data1 (Meters)
4.900,+3.278e-07,+1.000e+00,-2.000e+00
4.925,+3.278e-07,+1.000e+00,-2.000e+00
4.950,+3.278e-07,+1.000e+00,-2.000e+00
4.975,+3.278e-07,+1.000e+00,-2.000e+00
5.000,+3.278e-07,+1.000e+00,-2.000e+00
5.025,+3.278e-07,+1.000e+00,-2.000e+00
5.050,+3.278e-07,+1.000e+00,-2.000e+00
5.075,+3.278e-07,+1.000e+00,-2.000e+00
5.100,+3.278e-07,+1.000e+00,-2.000e+00
5.125,+3.278e-07,+1.000e+00,-2.000e+00
5.150,+3.278e-07,+1.000e+00,-2.000e+00
5.175,+3.278e-07,+1.000e+00,-2.000e+00
5.200,+3.278e-07,+1.000e+00,-2.000e+00
5.225,+3.278e-07,+1.000e+00,-2.000e+00
5.250,+3.278e-07,+1.000e+00,-2.000e+00
5.275,+3.278e-07,+1.000e+00,-2.000e+00
5.300,+3.278e-07,+1.000e+00,-2.000e+00
5.325,+3.278e-07,+1.000e+00,-2.000e+00
5.350,+3.278e-07,+1.000e+00,-2.000e+00
5.375,+3.278e-07,+1.000e+00,-2.000e+00
5.400,+3.278e-07,+1.000e+00,-2.000e+00
5.425,+3.278e-07,+1.000e+00,-2.000e+00
5.450,+3.278e-07,+1.000e+00,-2.000e+00
5.475,+3.278e-07,+1.000e+00,-2.000e+00
5.500,+3.278e-07,+1.000e+00,-2.000e+00
5.525,+3.278e-07,+1.000e+00,-2.000e+00
5.550,+3.278e-07,+1.000e+00,-2.000e+00
5.575,+3.278e-07,+1.000e+00,-2.000e+00
5.600,+3.278e-07,+1.000e+00,-2.000e+00
5.625,+3.278e-07,+1.000e+00,-2.000e+00
5.650,+3.278e-07,+1.000e+00,-2.000e+00
5.675,+3.278e-07,+1.000e+00,-2.000e+00
5.700,+3.278e-07,+1.000e+00,-2.000e+00
5.725,+3.278e-07,+1.000e+00,-2.000e+00
5.750,+3.278e-07,+1.000e+00,-2.000e+00
5.775,+3.278e-07,+1.000e+00,-2.000e+00
5.800,+3.278e-07,+1.000e+00,-2.000e+00
5.825,+3.278e-07,+1.000e+00,-2.000e+00
5.850,+3.278e-07,+1.000e+00,-2.000e+00
5.875,+3.278e-07,+1.000e+00,-2.000e+00
5.900,+3.278e-07,+1.000e+00,-2.000e+00
5.925,+3.278e-07,+1.000e+00,-2.000e+00
5.950,+3.278e-07,+1.000e+00,-2.000e+00
5.975,+3.278e-07,+1.000e+00,-2.000e+00
6.000,+3.278e-07,+1.000e+00,-2.000e+00
6.025,+3.278e-07,+1.000e+00,-2.000e+00
6.050,+3.278e-07,+1.000e+00,-2.000e+00
6.075,+3.278e-07,+1.000e+00,-2.000e+00
6.100,+3.278e-07,+1.000e+00,-2.000e+00
6.125,+3.278e-07,+1.000e+00,-2.000e+00
6.150,+3.278e-07,+1.000e+00,-2.000e+00
6.175,+3.278e-07,+1.000e+00,-2.000e+00
6.200,+3.278e-07,+1.000e+00,-2.000e+00
6.225,+3.278e-07,+1.000e+00,-2.000e+00
6.250,+3.278e-07,+1.000e+00,-2.000e+00
6.275,+3.278e-07,+1.000e+00,-2.000e+00
6.300,+3.278e-07,+1.000e+00,-2.000e+00
6.325,+3.278e-07,+1.000e+00,-2.000e+00
6.350,+3.278e-07,+1.000e+00,-2.000e+00
6.375,+3.278e-07,+1.000e+00,-2.000e+00
6.400,+3.278e-07,+1.000e+00,-2.000e+00
6.425,+3.278e-07,+1.000e+00,-2.000e+00
6.450,+3.278e-07,+1.000e+00,-2.000e+00
6.475,+3.278e-07,+1.000e+00,-2.000e+00
6.500,+3.278e-07,+1.000e+00,-2.000e+00
6.525,+3.278e-07,+1.000e+00,-2.000e+00
6.550,+3.278e-07,+1.000e+00,-2.000e+00
6.575,+3.278e-07,+1.000e+00,-2.000e+00
6.600,+3.278e-07,+1.000e+00,-2.000e+00
6.625,+3.278e-07,+1.000e+00,-2.000e+00
6.650,+3.278e-07,+1.000e+00,-2.000e+00
6.675,+3.278e-07,+1.000e+00,-2.000e+00
6.700,+3.278e-07,+1.000e+00,-2.000e+00
6.725,+3.278e-07,+1.000e+00,-2.000e+00
6.750,+3.278e-07,+1.000e+00,-2.000e+00
6.775,+3.278e-07,+1.000e+00,-2.000e+00
6.800,+3.278e-07,+1.000e+00,-2.000e+00
6.825,+3.278e-07,+1.000e+00,-2.000e+00
6.850,+3.278e-07,+1.000e+00,-2.000e+00
6.875,+3.278e-07,+1.000e+00,-2.000e+00
6.900,+3.278e-07,+1.000e+00,-2.000e+00
6.925,+3.278e-07,+1.000e+00,-2.000e+00
6.950,+3.278e-07,+1.000e+00,-2.000e+00
6.975,+3.278e-07,+1.000e+00,-2.000e+00
7.000,+3.278e-07,+1.000e+00,-2.000e+00
7.025,+3.278e-07,+1.000e+00,-2.000e+00
7.050,+3.278e-07,+1.000e+00,-2.000e+00
7.075,+3.278e-07,+1.000e+00,-2.000e+00
